Date,Order ID,Direction,Coin,Futures,order source,Transaction type,Price,Average Price,Order amount,Executed,Trading volume,Realized P/L,NetProfits,Status,Week,Type,Side,Hour
2025-11-01 21:40:35,1368616975818440705,Open long,USDT,DOGEUSDT,GTC,Market,,0.18827,1146.0,1146.0,215.75742,0.0,0.0,fully executed,44,Open,long,21
2025-11-01 22:14:02,1368625392482140162,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.18722,1146.0,1146.0,214.55412,-1.2033,-1.332032472,fully executed,44,Close,long,22
2025-11-01 23:00:21,1368637049245679626,Open long,USDT,DOGEUSDT,GTC,Market,,0.18622,1097.0,1097.0,204.28334,0.0,0.0,fully executed,44,Open,long,23
2025-11-02 05:54:42,1368741324995051522,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.18768,1097.0,1097.0,205.88496,1.60162,1.478089024,fully executed,44,Close,long,5
2025-11-03 07:00:21,1369120235000053761,Open long,USDT,DOGEUSDT,GTC,Market,,0.17357,1058.0,1058.0,183.63706,0.0,0.0,fully executed,45,Open,long,7
2025-11-03 07:11:56,1369123148233588739,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.172632551984,1058.0,1058.0,182.64524,-0.99182,-1.101407144,fully executed,45,Close,long,7
2025-11-03 09:00:21,1369150434831908865,Open long,USDT,DOGEUSDT,GTC,Market,,0.17325,1032.0,1032.0,178.794,0.0,0.0,fully executed,45,Open,long,9
2025-11-03 09:48:27,1369162538926358530,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.17236,1032.0,1032.0,177.87552,-0.91848,-1.025205312,fully executed,45,Close,long,9
2025-11-03 11:00:20,1369180629794177027,Open long,USDT,DOGEUSDT,GTC,Market,,0.17276,1009.0,1009.0,174.31484,0.0,0.0,fully executed,45,Open,long,11
2025-11-03 11:59:14,1369195452112191494,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.17171,1009.0,1009.0,173.25539,-1.05945,-1.163403234,fully executed,45,Close,long,11
2025-11-03 13:00:22,1369210833279270914,Open long,USDT,DOGEUSDT,GTC,Market,,0.17416,972.0,972.0,169.28352,0.0,0.0,fully executed,45,Open,long,13
2025-11-03 15:07:09,1369242741174321158,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.17559,972.0,972.0,170.67348,1.38996,1.287555912,fully executed,45,Close,long,15
2025-11-03 15:15:22,1369244808156692482,Open long,USDT,DOGEUSDT,GTC,Market,,0.17464,996.0,996.0,173.94144,0.0,0.0,fully executed,45,Open,long,15
2025-11-03 15:35:48,1369249951535218698,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.17379,996.0,996.0,173.09484,-0.8466,-0.950456904,fully executed,45,Close,long,15
2025-11-03 17:00:21,1369271230736777217,Open long,USDT,DOGEUSDT,GTC,Market,,0.16636,1018.0,1018.0,169.35448,0.0,0.0,fully executed,45,Open,long,17
2025-11-03 17:04:33,1369272285662953473,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.16562,1018.0,1018.0,168.60116,-0.75332,-0.854480696,fully executed,45,Close,long,17
2025-11-03 19:00:21,1369301428970602499,Open long,USDT,DOGEUSDT,GTC,Market,,0.17123,969.0,969.0,165.92187,0.0,0.0,fully executed,45,Open,long,19
2025-11-03 19:16:34,1369305507817996297,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.17028,969.0,969.0,165.00132,-0.92055,-1.019550792,fully executed,45,Close,long,19
2025-11-03 21:00:21,1369331628764708865,Open long,USDT,DOGEUSDT,GTC,Market,,0.16826,959.0,959.0,161.36134,0.0,0.0,fully executed,45,Open,long,21
2025-11-03 21:12:15,1369334622117838849,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.1674,959.0,959.0,160.5366,-0.82474,-0.92106196,fully executed,45,Close,long,21
2025-11-03 23:00:21,1369361824645529608,Open long,USDT,DOGEUSDT,GTC,Market,,0.1677,939.0,939.0,157.4703,0.0,0.0,fully executed,45,Open,long,23
2025-11-03 23:03:36,1369362643503693825,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.16678,939.0,939.0,156.60642,-0.86388,-0.957843852,fully executed,45,Close,long,23
2025-11-04 01:00:21,1369392025718898689,Open long,USDT,DOGEUSDT,GTC,Market,,0.16718,916.0,916.0,153.13688,0.0,0.0,fully executed,45,Open,long,1
2025-11-04 01:22:04,1369397488221044737,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.16636,916.0,916.0,152.38576,-0.75112,-0.842551456,fully executed,45,Close,long,1
2025-11-04 03:00:21,1369422224086941699,Open long,USDT,DOGEUSDT,GTC,Market,,0.16987,853.0,853.0,144.89911,0.0,0.0,fully executed,45,Open,long,3
2025-11-04 03:42:24,1369432808249507840,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.16899,853.0,853.0,144.14847,-0.75064,-0.837129082,fully executed,45,Close,long,3
2025-11-04 05:00:21,1369452421486100481,Open long,USDT,DOGEUSDT,GTC,Market,,0.1705,828.0,828.0,141.174,0.0,0.0,fully executed,45,Open,long,5
2025-11-04 05:52:00,1369465420858933249,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.16956,828.0,828.0,140.39568,-0.77832,-0.862557408,fully executed,45,Close,long,5
2025-11-04 07:00:21,1369482622215536641,Open long,USDT,DOGEUSDT,GTC,Market,,0.16115,853.0,853.0,137.46095,0.0,0.0,fully executed,45,Open,long,7
2025-11-04 07:04:46,1369483734817587202,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.16243,853.0,853.0,138.55279,1.09184,1.008708326,fully executed,45,Close,long,7
2025-11-04 09:00:22,1369512824144543745,Open long,USDT,DOGEUSDT,GTC,Market,,0.16212,871.0,871.0,141.20652,0.0,0.0,fully executed,45,Open,long,9
2025-11-04 09:08:53,1369514966993498112,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.16114,871.0,871.0,140.35294,-0.85358,-0.937791764,fully executed,45,Close,long,9
2025-11-04 11:00:21,1369543021153632257,Open long,USDT,DOGEUSDT,GTC,Market,,0.1651,830.0,830.0,137.033,0.0,0.0,fully executed,45,Open,long,11
2025-11-04 12:11:08,1369560834459189249,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.16652,830.0,830.0,138.2116,1.1786,1.09567304,fully executed,45,Close,long,12
2025-11-04 13:00:21,1369573219844636674,Open long,USDT,DOGEUSDT,GTC,Market,,0.16596,850.0,850.0,141.066,0.0,0.0,fully executed,45,Open,long,13
2025-11-04 13:13:38,1369576562625232903,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.16508,850.0,850.0,140.318,-0.748,-0.8321908,fully executed,45,Close,long,13
2025-11-04 15:00:21,1369603419705851907,Open long,USDT,DOGEUSDT,GTC,Market,,0.16264,845.0,845.0,137.4308,0.0,0.0,fully executed,45,Open,long,15
2025-11-04 15:02:13,1369603887798566913,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.16182,845.0,845.0,136.7379,-0.6929,-0.77494274,fully executed,45,Close,long,15
2025-11-04 17:00:22,1369633620003274755,Open long,USDT,DOGEUSDT,GTC,Market,,0.16429,816.0,816.0,134.06064,0.0,0.0,fully executed,45,Open,long,17
2025-11-04 17:19:51,1369638524923035649,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.16323,816.0,816.0,133.19568,-0.86496,-0.944877408,fully executed,45,Close,long,17
2025-11-04 19:00:21,1369663817834446851,Open long,USDT,DOGEUSDT,GTC,Market,,0.15901,817.0,817.0,129.91117,0.0,0.0,fully executed,45,Open,long,19
2025-11-04 19:02:15,1369664295225933825,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.1582,817.0,817.0,129.2494,-0.66177,-0.73931964,fully executed,45,Close,long,19
2025-11-04 21:00:29,1369694050453176321,Open long,USDT,DOGEUSDT,GTC,Market,,0.15804,801.0,801.0,126.59004,0.0,0.0,fully executed,45,Open,long,21
2025-11-04 21:03:07,1369694710947004418,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.1572,801.0,801.0,125.9172,-0.67284,-0.74839032,fully executed,45,Close,long,21
2025-11-04 22:45:57,1369720589404225541,Open long,USDT,DOGEUSDT,GTC,Market,,0.156028419072,797.0,797.0,124.35465,0.0,0.0,fully executed,45,Open,long,22
2025-11-04 22:47:21,1369720943156019274,Close long,USDT,DOGEUSDT,GTC,Trigger order—market,,0.155,797.0,797.0,123.535,-0.819650000384,-0.893771000384,fully executed,45,Close,long,22
2025-11-04 23:00:27,1369724237513375942,Open long,USDT,DOGEUSDT,GTC,Market,,0.15847,734.0,734.0,116.31698,0.0,0.0,fully executed,45,Open,long,23
